consultorio_id,fecha_captura,fuente_captura,nombre_comercial,nombre_normalizado,categoria_principal,municipio_id,es_area_de_servicio,calificacion,resenas_total,fecha_resena_mas_reciente,resenas_respondidas_pct,tiene_horario_publicado,fotos_n,telefono_e164,dominio,instagram_handle
C-0001,2026-09-12,maps,Ortodoncia Sanmiguel 001,ortodoncia sanmiguel 001,Ortodoncista,08001,false,4.9,200,2026-08-27,60,true,70,+57305000001,fix1.co,fix1
C-0002,2026-09-12,maps,Centro Valderrama 002,centro valderrama 002,Clínica dental,08001,true,3.8,0,2025-09-11,0,false,1,+57305000002,fix2.co,fix2
C-0003,2026-09-12,maps,Consultorio Echeverri 003,consultorio echeverri 003,Ortodoncista,08001,false,3.8,111,2026-04-15,6,true,38,+57305000003,fix3.co,fix3
C-0004,2026-09-12,maps,Clínica Betancur 004,clínica betancur 004,Dentista,08001,false,3.8,9,2025-10-02,0,false,10,+57305000004,,
C-0005,2026-09-12,maps,Ortodoncia Zapata 005,ortodoncia zapata 005,Ortodoncista,08001,false,4.4,145,2026-05-16,11,true,43,+57305000005,fix5.co,fix5
C-0006,2026-09-12,maps,Centro Ocampo 006,centro ocampo 006,Ortodoncista,08001,false,4.6,210,2026-07-01,19,true,52,+57305000006,fix6.co,fix6
C-0007,2026-09-12,maps,Clínica Restrepo 007,clínica restrepo 007,Ortodoncista,08001,false,4.5,186,2026-06-16,16,true,49,+57305000007,fix7.co,fix7
C-0008,2026-09-12,maps,Consultorio Villegas 008,consultorio villegas 008,Ortodoncista,08001,false,4.9,332,2026-08-22,35,true,65,+57305000008,fix8.co,fix8
C-0009,2026-09-12,maps,Ortodoncia Cadavid 009,ortodoncia cadavid 009,Dentista,08001,false,4.1,47,2026-01-17,0,true,25,+57305000009,fix9.co,
C-0010,2026-09-12,maps,Centro Mejía 010,centro mejía 010,Ortodoncista,08001,false,4.6,190,2026-06-18,17,true,50,+57305000010,fix10.co,fix10
C-0011,2026-09-12,maps,Clínica Uribe 011,clínica uribe 011,Dentista,08001,false,4.1,56,2026-02-01,0,true,27,+57305000011,fix11.co,
C-0012,2026-09-12,maps,Clínica Arboleda 012,clínica arboleda 012,Clínica dental,08001,false,4.0,43,2026-01-10,0,true,24,+57305000012,fix12.co,
C-0013,2026-09-12,maps,Ortodoncia Sanmiguel 013,ortodoncia sanmiguel 013,Ortodoncista,08001,false,4.4,152,2026-05-21,11,true,44,+57305000013,fix13.co,fix13
C-0014,2026-09-12,maps,Centro Valderrama 014,centro valderrama 014,Dentista,08001,false,3.8,9,2025-10-05,0,false,11,+57305000014,,
C-0015,2026-09-12,maps,Consultorio Echeverri 015,consultorio echeverri 015,Ortodoncista,08001,false,4.9,378,2026-08-31,41,true,70,+57305000015,fix15.co,fix15
C-0016,2026-09-12,maps,Clínica Betancur 016,clínica betancur 016,Ortodoncista,08001,false,4.6,225,2026-07-09,21,true,54,+57305000016,fix16.co,fix16
C-0017,2026-09-12,maps,Ortodoncia Zapata 017,ortodoncia zapata 017,Ortodoncista,08001,false,4.3,114,2026-04-17,7,true,39,+57305000017,fix17.co,fix17
C-0018,2026-09-12,maps,Centro Ocampo 018,centro ocampo 018,Ortodoncista,08001,false,4.5,175,2026-06-08,15,true,48,+57305000018,fix18.co,fix18
C-0019,2026-09-12,maps,Clínica Restrepo 019,clínica restrepo 019,Ortodoncista,08001,false,4.8,291,2026-08-09,30,true,61,+57305000019,fix19.co,fix19
C-0020,2026-09-12,maps,Consultorio Villegas 020,consultorio villegas 020,Ortodoncista,08001,false,4.7,272,2026-08-01,27,true,59,+57305000020,fix20.co,fix20
C-0021,2026-09-12,maps,Ortodoncia Cadavid 021,ortodoncia cadavid 021,Dentista,08001,false,3.9,19,2025-11-12,0,true,16,+57305000021,,
C-0022,2026-09-12,maps,Centro Mejía 022,centro mejía 022,Ortodoncista,08001,false,4.2,86,2026-03-17,3,true,34,+57305000022,fix22.co,fix22
C-0023,2026-09-12,maps,Clínica Uribe 023,clínica uribe 023,Ortodoncista,08001,false,4.7,270,2026-07-31,27,true,59,+57305000023,fix23.co,fix23
C-0024,2026-09-12,maps,Clínica Arboleda 024,clínica arboleda 024,Dentista,08001,true,3.7,4,2025-08-29,0,false,6,+57305000024,,
C-0025,2026-09-12,maps,Ortodoncia Sanmiguel 025,ortodoncia sanmiguel 025,Clínica dental,08001,true,3.6,2,2025-07-25,0,false,2,+57305000025,,
C-0026,2026-09-12,maps,Centro Valderrama 026,centro valderrama 026,Dentista,08001,false,4.1,56,2026-02-02,0,true,27,+57305000026,fix26.co,
C-0027,2026-09-12,maps,Consultorio Echeverri 027,consultorio echeverri 027,Ortodoncista,68001,false,4.9,359,2026-08-28,38,true,68,+57305000027,fix27.co,fix27
C-0028,2026-09-12,maps,Clínica Betancur 028,clínica betancur 028,Dentista,68001,true,3.6,2,2025-07-31,0,false,2,+57305000028,,
C-0029,2026-09-12,maps,Ortodoncia Zapata 029,ortodoncia zapata 029,Dentista,68001,false,3.8,11,2025-10-14,0,false,12,+57305000029,,
